nome,correlacao,total,partidos
433,1.0,1,
516,1.0,6,
259,1.0,732,
615,1.0,19,
610,1.0,3,
419,1.0,1,
488,0.9743589743589743,39,
380,0.96875,32,
226,0.9655172413793104,87,
166,0.9638728323699421,692,
383,0.9545454545454546,88,
318,0.9411764705882353,85,
196,0.9393939393939394,99,
249,0.9393939393939394,33,
139,0.9387755102040817,98,
601,0.9333333333333333,30,
389,0.9183673469387755,49,
204,0.9098712446351931,233,
180,0.9090909090909091,22,
551,0.896551724137931,29,
52,0.896551724137931,58,
213,0.8953488372093024,86,
273,0.8868613138686131,274,
540,0.8829268292682927,205,
584,0.8809523809523809,42,
255,0.8776119402985074,335,
445,0.875,368,
412,0.875,24,
521,0.8695652173913043,115,
85,0.86875,320,
95,0.8613861386138614,101,
505,0.8611111111111112,72,
58,0.8567493112947658,363,
546,0.8567251461988304,342,
101,0.8545994065281899,674,
16,0.8524096385542169,664,
518,0.8499025341130604,513,
277,0.849015317286652,457,
47,0.8488664987405542,397,
559,0.8445807770961146,489,
486,0.8441558441558441,539,
417,0.8436482084690554,307,
428,0.84,325,
363,0.8392857142857143,56,
169,0.8377862595419847,524,
265,0.8370786516853933,534,
493,0.8367346938775511,588,
195,0.8362369337979094,574,
574,0.8350515463917526,97,
67,0.8340163934426229,488,
146,0.8336283185840708,565,
1,0.8333333333333334,6,
408,0.8333333333333334,6,
83,0.8291139240506329,316,
221,0.8287112561174551,613,
378,0.8287037037037037,216,
201,0.8282097649186256,553,
104,0.8276923076923077,325,
460,0.8275229357798165,545,
510,0.827037773359841,503,
458,0.827027027027027,185,
416,0.8269794721407625,341,
508,0.826,500,
447,0.8251231527093597,406,
425,0.8248299319727891,588,
438,0.8239564428312159,551,
439,0.8236220472440945,635,
626,0.8233333333333334,600,
570,0.8232044198895028,543,
108,0.8229813664596274,644,
402,0.8215859030837004,454,
420,0.8208469055374593,614,
343,0.8208191126279863,586,
93,0.8200589970501475,339,
177,0.8192982456140351,570,
479,0.8190954773869347,597,
11,0.8184818481848185,606,
565,0.8173431734317343,542,
456,0.8169257340241797,579,
182,0.8168604651162791,344,
520,0.8168316831683168,606,
513,0.816711590296496,371,
387,0.8166311300639659,469,
289,0.8164794007490637,534,
462,0.8160676532769556,473,
188,0.8140495867768595,484,
73,0.813588850174216,574,
165,0.8131699846860643,653,
350,0.8125,624,
622,0.8121212121212121,165,
86,0.811965811965812,351,
81,0.8115577889447236,398,
167,0.8102310231023102,606,
449,0.8086124401913876,209,
390,0.8085443037974683,632,
548,0.8080495356037152,646,
372,0.8077922077922078,385,
8,0.8065173116089613,491,
281,0.8061068702290076,655,
227,0.8061041292639138,557,
434,0.8055555555555556,180,
321,0.8041237113402062,582,
370,0.8038528896672504,571,
475,0.8030050083472454,599,
600,0.8028169014084507,568,
591,0.8027923211169284,573,
158,0.801980198019802,101,
203,0.8019169329073482,313,
224,0.8018867924528302,530,
154,0.8018691588785046,535,
256,0.8015873015873016,252,
238,0.8012718600953895,629,
271,0.8012170385395537,493,
145,0.8010752688172043,186,
66,0.800711743772242,562,
262,0.800314465408805,636,
320,0.8,5,
326,0.8,5,
55,0.799163179916318,239,
133,0.7990654205607477,642,
619,0.7990430622009569,209,
125,0.7989864864864865,592,
489,0.797752808988764,534,
353,0.7976190476190477,588,
57,0.7975903614457831,415,
191,0.7961538461538461,520,
311,0.7958199356913184,622,
74,0.7955625990491284,631,
22,0.7955555555555556,450,
21,0.7953367875647669,386,
217,0.7950310559006211,161,
525,0.7947154471544715,492,
122,0.7941888619854721,413,
490,0.7940140845070423,568,
453,0.7926078028747433,487,
127,0.7922848664688428,337,
324,0.7921348314606742,356,
107,0.792063492063492,630,
463,0.791907514450867,519,
240,0.7915904936014625,547,
397,0.7906602254428341,621,
340,0.7903469079939668,663,
231,0.7894736842105263,399,
72,0.7891156462585034,588,
522,0.7890909090909091,275,
577,0.7890410958904109,365,
406,0.7888888888888889,180,
523,0.7887067395264117,549,
512,0.7870370370370371,324,
92,0.7864693446088795,473,
575,0.7862165963431786,711,
257,0.7857142857142857,168,
503,0.7846153846153846,455,
471,0.7845117845117845,297,
65,0.7839416058394161,685,
152,0.782608695652174,598,
541,0.780952380952381,630,
429,0.7808695652173913,575,
20,0.7803030303030303,528,
487,0.7789473684210526,95,
25,0.7783018867924528,424,
267,0.7780612244897959,392,
443,0.7767857142857143,224,
171,0.7757352941176471,272,
342,0.7757009345794392,214,
573,0.7745358090185677,377,
282,0.7741273100616016,487,
494,0.7740112994350282,531,
602,0.7734899328859061,596,
396,0.7725856697819314,321,
172,0.7723785166240409,391,
328,0.772189349112426,338,
373,0.7709923664122137,524,
280,0.7704280155642024,257,
569,0.7697478991596639,595,
38,0.7694704049844237,321,
17,0.768581081081081,592,
199,0.7681159420289855,483,
242,0.7671641791044777,335,
403,0.7668997668997669,429,
558,0.7666666666666667,210,
346,0.7661290322580645,496,
174,0.7658227848101266,474,
103,0.7644444444444445,450,
219,0.7642857142857142,280,
553,0.7630522088353414,498,
136,0.7629482071713147,502,
576,0.7624784853700516,581,
35,0.7622377622377622,286,
583,0.7617021276595745,235,
23,0.7615131578947368,608,
401,0.7611940298507462,536,
323,0.7607003891050583,514,
5,0.7603833865814696,626,
337,0.7597292724196277,591,
368,0.759493670886076,632,
430,0.7581699346405228,306,
264,0.7577981651376147,545,
183,0.7566964285714286,448,
451,0.7557251908396947,262,
366,0.7544642857142857,224,
501,0.7534883720930232,215,
300,0.7534246575342466,219,
181,0.7533333333333333,300,
197,0.7530864197530864,81,
179,0.753030303030303,660,
477,0.7526132404181185,287,
48,0.7519685039370079,508,
293,0.7518796992481203,532,
369,0.75,8,
216,0.75,136,
302,0.7479406919275123,607,
163,0.7474489795918368,392,
330,0.7469244288224957,569,
398,0.7458563535911602,543,
276,0.7441860465116279,516,
502,0.7427466150870407,517,
126,0.7423312883435583,163,
497,0.7421052631578947,190,
178,0.7392996108949417,514,
621,0.7391304347826086,46,
34,0.7391304347826086,230,
586,0.7390625,640,
376,0.7390180878552972,387,
284,0.7387096774193549,310,
393,0.7375478927203065,522,
327,0.7373134328358208,670,
234,0.7364864864864865,148,
442,0.7362204724409449,254,
606,0.735973597359736,303,
528,0.7358490566037735,53,
309,0.7344398340248963,241,
313,0.7333333333333333,15,
304,0.7332268370607029,626,
465,0.733201581027668,506,
482,0.732620320855615,187,
424,0.7326086956521739,460,
358,0.7314814814814815,540,
394,0.7302752293577982,545,
283,0.7282282282282282,666,
0,0.7280858676207513,559,
3,0.7280163599182005,489,
14,0.7277147487844409,617,
312,0.7272727272727273,22,
77,0.7266187050359713,417,
534,0.7253521126760564,568,
450,0.7250922509225092,542,
160,0.7239819004524887,221,
307,0.7238805970149254,536,
266,0.7230046948356808,426,
466,0.7208835341365462,498,
385,0.72,175,
214,0.7185840707964601,565,
148,0.717948717948718,117,
554,0.7166666666666667,420,
143,0.71499176276771,607,
585,0.7148936170212766,470,
194,0.7148014440433214,554,
499,0.7145593869731801,522,
243,0.7142857142857143,483,
215,0.7139784946236559,465,
131,0.7138263665594855,622,
142,0.7124183006535948,153,
222,0.711755233494364,621,
286,0.7107438016528925,363,
236,0.710172744721689,521,
187,0.7099811676082862,531,
535,0.7097701149425287,348,
252,0.709375,320,
94,0.7087087087087087,666,
532,0.7084078711985689,559,
173,0.708029197080292,548,
359,0.7077922077922078,616,
379,0.7066666666666667,600,
316,0.7064220183486238,545,
278,0.7058823529411765,17,
294,0.7053726169844021,577,
392,0.7045045045045045,555,
159,0.7032136105860114,529,
464,0.7025210084033613,595,
470,0.7010309278350515,97,
46,0.7002967359050445,337,
345,0.7,30,
220,0.7,260,
157,0.6998011928429424,503,
124,0.6994047619047619,672,
375,0.6993603411513859,469,
64,0.6983870967741935,620,
244,0.6981132075471698,636,
89,0.6979166666666666,576,
317,0.6978922716627635,427,
99,0.6973684210526315,608,
580,0.697324414715719,598,
315,0.6962025316455697,474,
374,0.6961538461538461,520,
144,0.6958393113342898,697,
246,0.6956521739130435,368,
233,0.6952998379254457,617,
44,0.6947935368043088,557,
186,0.6946428571428571,560,
88,0.6935779816513762,545,
322,0.693446088794926,473,
431,0.6931216931216931,567,
531,0.693069306930693,505,
579,0.6928374655647382,726,
287,0.6919275123558485,607,
511,0.6909385113268608,618,
63,0.6905737704918032,488,
290,0.690566037735849,530,
441,0.6899641577060932,558,
112,0.6896551724137931,493,
509,0.6893353941267388,647,
582,0.6891891891891891,518,
53,0.6890595009596929,521,
404,0.6889848812095032,463,
268,0.6889312977099237,524,
100,0.6889204545454546,704,
24,0.6888489208633094,556,
382,0.6885245901639344,671,
250,0.6884735202492211,321,
536,0.6877076411960132,602,
258,0.6875,480,
150,0.6872909698996655,598,
2,0.6869369369369369,444,
405,0.6861313868613139,411,
301,0.6845794392523364,428,
314,0.6840277777777778,576,
526,0.6821829855537721,623,
225,0.6821052631578948,475,
474,0.6816816816816816,666,
69,0.681592039800995,603,
272,0.6814404432132964,361,
325,0.6814345991561181,474,
96,0.681260945709282,571,
413,0.6804597701149425,435,
155,0.6797900262467191,381,
120,0.6796875,512,
76,0.6794258373205742,418,
185,0.6792452830188679,477,
119,0.6786833855799373,638,
410,0.6785714285714286,308,
414,0.6785009861932939,507,
562,0.6783505154639176,485,
129,0.678082191780822,146,
538,0.6776429809358753,577,
61,0.6774193548387096,93,
6,0.6765873015873016,504,
552,0.6764705882352942,442,
115,0.6761363636363636,352,
568,0.6758241758241759,546,
105,0.6756756756756757,74,
599,0.6755555555555556,225,
90,0.6748681898066784,569,
566,0.6746506986027944,501,
476,0.6742770167427702,657,
305,0.6737357259380098,613,
248,0.6731707317073171,410,
596,0.6729957805907173,474,
349,0.6728110599078341,434,
335,0.6724137931034483,522,
241,0.6719745222929936,628,
608,0.6719298245614035,570,
235,0.6716867469879518,332,
530,0.6713615023474179,639,
232,0.6708595387840671,477,
592,0.6707317073170732,492,
381,0.6705653021442495,513,
598,0.6702317290552585,561,
211,0.67007299270073,685,
205,0.6699346405228758,306,
190,0.669833729216152,421,
110,0.6697530864197531,648,
539,0.6686390532544378,169,
384,0.6685714285714286,525,
415,0.6684027777777778,576,
253,0.6682808716707022,413,
506,0.6679764243614931,509,
329,0.6676970633693973,647,
547,0.6675324675324675,385,
113,0.6675126903553299,394,
192,0.6673469387755102,490,
357,0.6673076923076923,520,
79,0.66728280961183,541,
33,0.6666666666666666,600,
341,0.6666666666666666,3,
557,0.6666666666666666,252,
432,0.6661514683153014,647,
555,0.666098807495741,587,
123,0.666023166023166,518,
339,0.6653225806451613,496,
515,0.6651785714285714,448,
134,0.6646586345381527,498,
347,0.6643109540636042,566,
597,0.6631016042780749,561,
29,0.6617021276595745,470,
377,0.6610169491525424,531,
607,0.6609105180533752,637,
319,0.659877800407332,491,
348,0.6593220338983051,590,
15,0.6588983050847458,472,
578,0.658753709198813,337,
45,0.6587301587301587,630,
421,0.6586826347305389,668,
609,0.6584821428571429,448,
137,0.6583493282149712,521,
19,0.6581196581196581,351,
338,0.6570247933884298,484,
51,0.6553945249597424,621,
627,0.6548387096774193,620,
156,0.6546003016591252,663,
114,0.6541850220264317,454,
147,0.653211009174312,545,
623,0.652014652014652,273,
365,0.6517094017094017,468,
618,0.651685393258427,534,
355,0.6500802568218299,623,
138,0.649671052631579,608,
422,0.6496350364963503,548,
331,0.6496350364963503,548,
42,0.6485623003194888,313,
102,0.6483253588516746,418,
351,0.6482939632545932,381,
495,0.6479591836734694,196,
572,0.6477272727272727,528,
162,0.6476578411405295,491,
616,0.6475409836065574,122,
469,0.6470588235294118,204,
371,0.6446886446886447,273,
245,0.6445783132530121,498,
168,0.643979057591623,382,
303,0.643298969072165,485,
527,0.6428571428571429,476,
7,0.6428571428571429,56,
395,0.6425,400,
223,0.6421052631578947,190,
549,0.641914191419142,606,
524,0.6407982261640798,451,
149,0.6397379912663755,458,
37,0.6395061728395062,405,
